t,norm_ref,norm_tdvp,norm_bug,err_state_tdvp,err_state_bug,err_state_normed_tdvp,err_state_normed_bug,max_abs_err_z_tdvp,max_abs_err_z_bug,max_bond_dim_tdvp,max_bond_dim_bug,z_ref_1,z_ref_2,z_ref_3,z_ref_4,z_ref_5,z_ref_6,z_ref_7,z_ref_8,z_ref_9,z_ref_10,z_tdvp_1,z_tdvp_2,z_tdvp_3,z_tdvp_4,z_tdvp_5,z_tdvp_6,z_tdvp_7,z_tdvp_8,z_tdvp_9,z_tdvp_10,z_bug_1,z_bug_2,z_bug_3,z_bug_4,z_bug_5,z_bug_6,z_bug_7,z_bug_8,z_bug_9,z_bug_10
0.0000000000,1.0000000000000000e+00,9.9999999999999922e-01,9.9999999999999922e-01,7.7715611723760958e-16,7.7715611723760958e-16,0.0000000000000000e+00,0.0000000000000000e+00,2.2371143170757382e-17,2.2371143170757382e-17,1,1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17
0.0500000000,9.5146893474019312e-01,9.5146875418925980e-01,9.5127702130453706e-01,1.1816870007382808e-03,1.5086907662715221e-01,1.2419607786630284e-03,1.5858024015575625e-01,1.0373223938601323e-05,9.2059545498780170e-03,4,2,9.1295676506937262e-03,9.1713941604493823e-03,9.1921003946712557e-03,9.2019900044111921e-03,9.2059545498779059e-03,9.2059545498778851e-03,9.2019900044111487e-03,9.1921003946713910e-03,9.1713941604494049e-03,9.1295676506938945e-03,9.1272923971566326e-03,9.1650320411084119e-03,9.1854114113216756e-03,9.1934451347337465e-03,9.1960268746124618e-03,9.1955813259392838e-03,9.1920446833075320e-03,9.1831758975037259e-03,9.1638017064283317e-03,9.1218365318425833e-03,4.0179228314171793e-16,1.3020420611449035e-02,-2.2204460492503131e-16,0.0000000000000000e+00,-1.1102230246251565e-16,0.0000000000000000e+00,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0000000000000000e+00,4.5290012041728500e-03
0.1000000000,9.0576808663213515e-01,9.0576731569526081e-01,9.0501879342017766e-01,1.1257968075683018e-03,2.8434167188303372e-01,1.2429197267204456e-03,3.1405209756413394e-01,1.9298618719278127e-05,1.7509880920088036e-02,6,2,1.6963885424585046e-02,1.7261533502530638e-02,1.7409703208455092e-02,1.7481084153482845e-02,1.7509880920088036e-02,1.7509880920087907e-02,1.7481084153482720e-02,1.7409703208455266e-02,1.7261533502530537e-02,1.6963885424585209e-02,1.6960359816497995e-02,1.7251527816195877e-02,1.7399440294236845e-02,1.7466649879899099e-02,1.7492085775965727e-02,1.7490582301368629e-02,1.7461911936840380e-02,1.7391521253075137e-02,1.7244226072394175e-02,1.6946447811021000e-02,4.9392309903915221e-16,-1.3166452774548976e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2204460492503131e-16,0.0000000000000000e+00,-2.2204460492503131e-16,8.2219933956180977e-03
0.1500000000,8.6276823467663599e-01,8.6276651134488680e-01,8.6109714121354941e-01,1.0738452875185879e-03,3.9947394875729803e-01,1.2446505724359599e-03,4.6345920828184861e-01,2.7391594348970955e-05,2.5661617492793071e-02,6,2,2.4031196205158811e-02,2.4913782831142407e-02,2.5357049149783477e-02,2.5573458524881802e-02,2.5661617492793071e-02,2.5661617492793012e-02,2.5573458524881656e-02,2.5357049149783761e-02,2.4913782831142386e-02,2.4031196205158908e-02,2.4026127571585124e-02,2.4900280742565006e-02,2.5343188135915073e-02,2.5553626514537298e-02,2.5636801192562342e-02,2.5634383250079329e-02,2.5546066930532685e-02,2.5330609373510449e-02,2.4887834905985506e-02,2.4005389872252390e-02,-4.0011129835960257e-16,1.6465878762891739e-02,-1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1217905356899096e-02
0.2000000000,8.2237418228952719e-01,8.2237116417534295e-01,8.1939115564440335e-01,1.0255653171817542e-03,4.9593997370424231e-01,1.2470755772696258e-03,6.0414458691859130e-01,3.4561413229119986e-05,4.4995722453158998e-02,8,2,3.0705994911248369e-02,3.2518567385302372e-02,3.3439621609464142e-02,3.3896886093639111e-02,3.4085446880485842e-02,3.4085446880485856e-02,3.3896886093638959e-02,3.3439621609464426e-02,3.2518567385302490e-02,3.0705994911248598e-02,3.0699084874133673e-02,3.2501757563240696e-02,3.3422282770265821e-02,3.3872293731486924e-02,3.4054580255307332e-02,3.4051358927924713e-02,3.3862324680409839e-02,3.3405877164985665e-02,3.2484889807089745e-02,3.0672899493638033e-02,3.9649096425905794e-16,-1.2477155067856627e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3632302035767593e-02
0.2500000000,7.8451351628800625e-01,7.8450889303483307e-01,7.7978670350733303e-01,9.8070597817660993e-04,5.7402740969161747e-01,1.2500714773757513e-03,7.3388798545641987e-01,4.0415963312667724e-05,4.2927766283632041e-02,8,2,3.7239197133607571e-02,4.0257081217166396e-02,4.1812190924455886e-02,4.2598890832241144e-02,4.2927766283632013e-02,4.2927766283632041e-02,4.2598890832241040e-02,4.1812190924456011e-02,4.0257081217166368e-02,3.7239197133607724e-02,3.7230253114875475e-02,4.0237360133787425e-02,4.1791881319046487e-02,4.2570586198766747e-02,4.2892237023026136e-02,4.2888315778923658e-02,4.2558573387370902e-02,4.1772343500872500e-02,4.0216665253853701e-02,3.7199775421434197e-02,6.0202911097169629e-16,-2.3581748213384879e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1102230246251565e-16,1.5561138007514868e-02
0.3000000000,7.4912517975345894e-01,7.4911869898889005e-01,7.4217597301391536e-01,9.3905714036839028e-04,6.3459949668567528e-01,1.2535139177447926e-03,8.5102641425738512e-01,4.5922505841289318e-05,1.0825505156173230e-01,8,2,4.3777608665969026e-02,4.8138030948121732e-02,5.0420548913438140e-02,5.1598266821208480e-02,5.2097738563153938e-02,5.2097738563153959e-02,5.1598266821208369e-02,5.0420548913438355e-02,4.8138030948121857e-02,4.3777608665969081e-02,4.3766618451916109e-02,4.8116099435991100e-02,5.0398277468656050e-02,5.1567817297667351e-02,5.2059469558910887e-02,5.2054959994973338e-02,5.1554120623991617e-02,5.0376207071822998e-02,4.8092108442280568e-02,4.3732813476063892e-02,2.7673791870283698e-16,-6.0117020613610572e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.4408920985006262e-16,1.7083966731308960e-02
0.3500000000,7.1614793520739528e-01,7.1613943510090616e-01,7.0645705310742324e-01,9.0052596755404719e-04,6.7902620591841989e-01,1.2574094680905276e-03,9.5454860474284264e-01,4.9899326799732191e-05,1.1319844830613994e-01,8,2,5.0376383148831472e-02,5.6031415959054628e-02,5.9042779454308872e-02,6.0628143104641180e-02,6.1310417829426575e-02,6.1310417829426617e-02,6.0628143104640923e-02,5.9042779454308983e-02,5.6031415959054739e-02,5.0376383148831687e-02,5.0363556922851167e-02,5.6008289974046832e-02,5.9020015795864827e-02,6.0597555514574464e-02,6.1271776731139510e-02,6.1266806602431167e-02,6.0582550855518058e-02,5.8995948711816293e-02,5.5981516632255007e-02,5.0327224228301638e-02,1.7586815290007369e-17,-5.7167032347085311e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,1.1102230246251565e-16,1.8266674622409395e-02
0.4000000000,6.8550928144655454e-01,6.8549872041286197e-01,6.7253354444748703e-01,8.6548532819809157e-04,7.0908741167908562e-01,1.2624592846369588e-03,1.0441512292595703e+00,5.2428249611741196e-05,5.2243584700412415e-01,8,2,5.7008256452351025e-02,6.3703435508941447e-02,6.7335816703305018e-02,6.9288162917759979e-02,7.0140966095321264e-02,7.0140966095321222e-02,6.9288162917759910e-02,6.7335816703305157e-02,6.3703435508941531e-02,5.7008256452351427e-02,5.6994034052228269e-02,6.3680370794938129e-02,6.7314306121839057e-02,6.9259635113110452e-02,7.0104488234081663e-02,7.0099201784936754e-02,6.9243718402649701e-02,6.7288733274117274e-02,6.3651339860369416e-02,5.6955828202739686e-02,-3.5818758046521124e-16,5.8613928251306557e-01,1.1102230246251565e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2204460492503131e-16,1.9163801410262277e-02
0.4500000000,6.5711590836874856e-01,6.5710338202279195e-01,6.4031420005360340e-01,8.3576155159886757e-04,7.2685126909164754e-01,1.2717324732616005e-03,1.1202422159153107e+00,5.4530849776482371e-05,1.3969624889239737e-01,8,2,6.3573062130403535e-02,7.0855281938407150e-02,7.4890561978331355e-02,7.7109472334404114e-02,7.8093981965254369e-02,7.8093981965254508e-02,7.7109472334404072e-02,7.4890561978331424e-02,7.0855281938407344e-02,6.3573062130403840e-02,6.3558083491532941e-02,7.0833633034095705e-02,7.4872042613687073e-02,7.7085041527053394e-02,7.8061982616322412e-02,7.8056534391432147e-02,7.7068617879201329e-02,7.4845418772057748e-02,7.0802890356221337e-02,6.3518531280627358e-02,-1.7813143567881901e-16,-6.8840966953990224e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.4408920985006262e-16,1.9820501422217505e-02
