step,Z_site1,Z_site4,Z_site5,Z_site6
0,1.0,-1.0,1.0,-1.0
1,0.9752198704902815,-0.9604311616717052,0.9603816183832375,-0.9752198704902817
2,0.8806564168607615,-0.8479289844307352,0.8473491680332117,-0.880656416860767
3,0.7263126539810004,-0.6797593362402945,0.6776735767631101,-0.7263126539810105
4,0.5351078575380382,-0.48051139692163025,0.4756271245138108,-0.5351078575380493
5,0.3329703170856567,-0.2769469483038268,0.26790540215611813,-0.33297031708566555
6,0.14374530730571625,-0.09279609434519298,0.07846114457028375,-0.14374530730571825
7,-0.014797728314637406,0.055204506676140463,-0.07546278891217034,0.014797728314632864
8,-0.1329943181831164,0.15917264781035395,-0.18524751611780832,0.13299431818311155
9,-0.20912276917329106,0.21964071936571616,-0.25055754325264584,0.20912276917329214
10,-0.24747116539561742,0.24327985887710962,-0.27720077819834754,0.2474711653956205
11,-0.25551541222215174,0.23972380183226605,-0.27410650048445345,0.25551541222215207
12,-0.24123749459350285,0.21857620344462825,-0.25047895368827855,0.24123749459350208
13,-0.21142227663529806,0.18748636742248564,-0.21398129950714356,0.21142227663529403
14,-0.17132144057077775,0.15171331352597012,-0.1703418829355008,0.1713214405707738
15,-0.12552035090900615,0.11502540620348456,-0.1242120044737478,0.12552035090899832
16,-0.07937393381917482,0.08129191826294202,-0.08063040743499383,0.07937393381917349
17,-0.040152215196451395,0.055878527073047635,-0.046225568246595794,0.040152215196456655
18,-0.017138879008369644,0.046047745121050254,-0.02939400856648139,0.017138879008375647
19,-0.020330537116423523,0.05996315049778578,-0.039100833810675584,0.020330537116436512
20,-0.05795383541999835,0.10446727571223624,-0.08251774053768646,0.0579538354200074
21,-0.13354633671857208,0.1823408642575285,-0.1622370716784688,0.13354633671857094
22,-0.243632294644187,0.29005115740951715,-0.27407708976885176,0.24363229464416655
23,-0.37694360275574,0.4169339681613957,-0.40640544551614366,0.37694360275568595
24,-0.5156994073642943,0.5463355501298334,-0.5414696573157718,0.5156994073642623
25,-0.6388088091974361,0.6586064196403408,-0.6585818770451863,0.6388088091974075
