t,norm_ref,norm_tdvp,err_state,max_abs_err_z,max_bond_dim,z_ref_1,z_ref_2,z_ref_3,z_ref_4,z_ref_5,z_ref_6,z_ref_7,z_ref_8,z_ref_9,z_ref_10,z_tdvp_1,z_tdvp_2,z_tdvp_3,z_tdvp_4,z_tdvp_5,z_tdvp_6,z_tdvp_7,z_tdvp_8,z_tdvp_9,z_tdvp_10,znorm_ref_1,znorm_ref_2,znorm_ref_3,znorm_ref_4,znorm_ref_5,znorm_ref_6,znorm_ref_7,znorm_ref_8,znorm_ref_9,znorm_ref_10,znorm_tdvp_1,znorm_tdvp_2,znorm_tdvp_3,znorm_tdvp_4,znorm_tdvp_5,znorm_tdvp_6,znorm_tdvp_7,znorm_tdvp_8,znorm_tdvp_9,znorm_tdvp_10
0.0000000000,1.0000000000000000e+00,9.9999999999999922e-01,7.7715611723760958e-16,2.2371143170757382e-17,1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17
0.0500000000,9.5146893474019312e-01,9.5146875418925980e-01,1.1816870007382808e-03,1.0373223938601323e-05,4,9.1295676506937262e-03,9.1713941604493823e-03,9.1921003946712557e-03,9.2019900044111921e-03,9.2059545498779059e-03,9.2059545498778851e-03,9.2019900044111487e-03,9.1921003946713910e-03,9.1713941604494049e-03,9.1295676506938945e-03,9.1272923971566326e-03,9.1650320411084119e-03,9.1854114113216756e-03,9.1934451347337465e-03,9.1960268746124618e-03,9.1955813259392838e-03,9.1920446833075320e-03,9.1831758975037259e-03,9.1638017064283317e-03,9.1218365318425833e-03,1.0084653589073083e-02,1.0130855761822603e-02,1.0153728170161231e-02,1.0164652377327908e-02,1.0169031672076539e-02,1.0169031672076514e-02,1.0164652377327861e-02,1.0153728170161381e-02,1.0130855761822627e-02,1.0084653589073268e-02,1.0082144137208602e-02,1.0123831914202280e-02,1.0146343272332941e-02,1.0155217443760188e-02,1.0158069272369305e-02,1.0157577112619441e-02,1.0153670484100973e-02,1.0143873890225679e-02,1.0122472868053452e-02,1.0076117506517272e-02
0.1000000000,9.0576808663213515e-01,9.0576731569526081e-01,1.1257968075683018e-03,1.9298618719278127e-05,6,1.6963885424585046e-02,1.7261533502530638e-02,1.7409703208455092e-02,1.7481084153482845e-02,1.7509880920088036e-02,1.7509880920087907e-02,1.7481084153482720e-02,1.7409703208455266e-02,1.7261533502530537e-02,1.6963885424585209e-02,1.6960359816497995e-02,1.7251527816195877e-02,1.7399440294236845e-02,1.7466649879899099e-02,1.7492085775965727e-02,1.7490582301368629e-02,1.7461911936840380e-02,1.7391521253075137e-02,1.7244226072394175e-02,1.6946447811021000e-02,2.0677179634080764e-02,2.1039981116251848e-02,2.1220584294653934e-02,2.1307590106462250e-02,2.1342690314997807e-02,2.1342690314997650e-02,2.1307590106462097e-02,2.1220584294654146e-02,2.1039981116251726e-02,2.0677179634080965e-02,2.0672917482374945e-02,2.1027821039633632e-02,2.1208110991393980e-02,2.1290032497391087e-02,2.1321036213477595e-02,2.1319203634061888e-02,2.1284257436782184e-02,2.1198458502517163e-02,2.1018920972139594e-02,2.0655960192296669e-02
0.1500000000,8.6276823467663599e-01,8.6276651134488680e-01,1.0738452875185879e-03,2.7391594348970955e-05,6,2.4031196205158811e-02,2.4913782831142407e-02,2.5357049149783477e-02,2.5573458524881802e-02,2.5661617492793071e-02,2.5661617492793012e-02,2.5573458524881656e-02,2.5357049149783761e-02,2.4913782831142386e-02,2.4031196205158908e-02,2.4026127571585124e-02,2.4900280742565006e-02,2.5343188135915073e-02,2.5553626514537298e-02,2.5636801192562342e-02,2.5634383250079329e-02,2.5546066930532685e-02,2.5330609373510449e-02,2.4887834905985506e-02,2.4005389872252390e-02,3.2283981924303914e-02,3.3469666167261825e-02,3.4065158863359452e-02,3.4355887476878261e-02,3.4474321969369386e-02,3.4474321969369309e-02,3.4355887476878059e-02,3.4065158863359833e-02,3.3469666167261797e-02,3.2283981924304046e-02,3.2277301566323052e-02,3.3451660831286104e-02,3.4046673717092198e-02,3.4329381905820480e-02,3.4441120851570160e-02,3.4437872527075850e-02,3.4319226171322451e-02,3.4029775092615337e-02,3.3434940782692137e-02,3.2249442021618641e-02
0.2000000000,8.2237418228952719e-01,8.2237116417534295e-01,1.0255653171817542e-03,3.4561413229119986e-05,8,3.0705994911248369e-02,3.2518567385302372e-02,3.3439621609464142e-02,3.3896886093639111e-02,3.4085446880485842e-02,3.4085446880485856e-02,3.3896886093638959e-02,3.3439621609464426e-02,3.2518567385302490e-02,3.0705994911248598e-02,3.0699084874133673e-02,3.2501757563240696e-02,3.3422282770265821e-02,3.3872293731486924e-02,3.4054580255307332e-02,3.4051358927924713e-02,3.3862324680409839e-02,3.3405877164985665e-02,3.2484889807089745e-02,3.0672899493638033e-02,4.5402967453383423e-02,4.8083101065215204e-02,4.9445004337956878e-02,5.0121131737593062e-02,5.0399944369879740e-02,5.0399944369879761e-02,5.0121131737592833e-02,4.9445004337957295e-02,4.8083101065215385e-02,4.5402967453383757e-02,4.5393083213426305e-02,4.8058598218798772e-02,4.9419729258823854e-02,5.0085136227579305e-02,5.0354673491585435e-02,5.0349910288299854e-02,5.0070395528729279e-02,4.9395471173975330e-02,4.8033656776351116e-02,4.5354364301749064e-02
0.2500000000,7.8451351628800625e-01,7.8450889303523408e-01,9.8070487745228509e-04,4.0415928068471274e-05,9,3.7239197133607571e-02,4.0257081217166396e-02,4.1812190924455886e-02,4.2598890832241144e-02,4.2927766283632013e-02,4.2927766283632041e-02,4.2598890832241040e-02,4.1812190924456011e-02,4.0257081217166368e-02,3.7239197133607724e-02,3.7230253130419805e-02,4.0237360146605228e-02,4.1791881297086275e-02,4.2570586204884131e-02,4.2892237023207047e-02,4.2888315793342680e-02,4.2558573341486772e-02,4.1772343509144272e-02,4.0216665289097897e-02,3.7199775452001066e-02,6.0506140060647973e-02,6.5409589412455227e-02,6.7936327178077294e-02,6.9214554918470644e-02,6.9748910803023437e-02,6.9748910803023478e-02,6.9214554918470464e-02,6.7936327178077488e-02,6.5409589412455185e-02,6.0506140060648222e-02,6.0492320848142808e-02,6.5378317239587133e-02,6.7904128489666676e-02,6.9169380889738133e-02,6.9692004371101457e-02,6.9685633093037783e-02,6.9149862193897085e-02,6.7872383174030215e-02,6.5344691898500826e-02,6.0442800220518969e-02
0.3000000000,7.4912517975345894e-01,7.4911869901096684e-01,9.3902711147535124e-04,4.5920571757007700e-05,9,4.3777608665969026e-02,4.8138030948121732e-02,5.0420548913438140e-02,5.1598266821208480e-02,5.2097738563153938e-02,5.2097738563153959e-02,5.1598266821208369e-02,5.0420548913438355e-02,4.8138030948121857e-02,4.3777608665969081e-02,4.3766620534405679e-02,4.8116101355763274e-02,5.0398277268129565e-02,5.1567816128336275e-02,5.2059469811564417e-02,5.2054960232001880e-02,5.1554119403889320e-02,5.0376206961437631e-02,4.8092110376364849e-02,4.3732815549867202e-02,7.8008736708419554e-02,8.5778714194887348e-02,8.9846006776974394e-02,9.1944620405805727e-02,9.2834645256363799e-02,9.2834645256363826e-02,9.1944620405805519e-02,8.9846006776974768e-02,8.5778714194887570e-02,7.8008736708419665e-02,7.7990505999923881e-02,8.5741120645347058e-02,8.9807874075540875e-02,9.1891949253846944e-02,9.2768058011239940e-02,9.2760022106533682e-02,9.1867542195291446e-02,8.9768545601798547e-02,8.5698369603574354e-02,7.7930266762411757e-02
0.3500000000,7.1614793520739528e-01,7.1613943530195934e-01,9.0030742237026716e-04,4.9888578017173724e-05,10,5.0376383148831472e-02,5.6031415959054628e-02,5.9042779454308872e-02,6.0628143104641180e-02,6.1310417829426575e-02,6.1310417829426617e-02,6.0628143104640923e-02,5.9042779454308983e-02,5.6031415959054739e-02,5.0376383148831687e-02,5.0363569395107999e-02,5.6008300786446974e-02,5.9020014670913001e-02,6.0597551306184355e-02,6.1271777095427277e-02,6.1266806865009238e-02,6.0582546612470256e-02,5.8995947943255078e-02,5.5981527381037566e-02,5.0327236604488026e-02,9.8224877354775572e-02,1.0925117320019864e-01,1.1512278984878008e-01,1.1821396353738227e-01,1.1954427641368218e-01,1.1954427641368226e-01,1.1821396353738177e-01,1.1512278984878030e-01,1.0925117320019886e-01,9.8224877354775988e-02,9.8202223937645425e-02,1.0920869513930673e-01,1.1508113438201013e-01,1.1815711981726415e-01,1.1947176992516934e-01,1.1946207864064769e-01,1.1812786267147554e-01,1.1503420748212406e-01,1.0915649057983713e-01,9.8131379855631473e-02
0.4000000000,6.8550928144655454e-01,6.8549872139979684e-01,8.6431515250979846e-04,5.2387662034254767e-05,12,5.7008256452351025e-02,6.3703435508941447e-02,6.7335816703305018e-02,6.9288162917759979e-02,7.0140966095321264e-02,7.0140966095321222e-02,6.9288162917759910e-02,6.7335816703305157e-02,6.3703435508941531e-02,5.7008256452351427e-02,5.6994074684007003e-02,6.3680404844406735e-02,6.7314305797680385e-02,6.9259625906659794e-02,7.0104488096074891e-02,7.0099201522406701e-02,6.9243709340147758e-02,6.7288733427953495e-02,6.3651373499743424e-02,5.6955868790317173e-02,1.2131404398453391e-01,1.3556144071441661e-01,1.4329117811394454e-01,1.4744578709994974e-01,1.4926055935630339e-01,1.4926055935630331e-01,1.4744578709994960e-01,1.4329117811394482e-01,1.3556144071441681e-01,1.2131404398453477e-01,1.2128760182658252e-01,1.3551660641472432e-01,1.4324981612716431e-01,1.4738960104535592e-01,1.4918753020547032e-01,1.4917627998611593e-01,1.4735572941585301e-01,1.4319539623501951e-01,1.3545482556835500e-01,1.2120629686204064e-01
0.4500000000,6.5711590836874856e-01,6.5710338546838598e-01,8.3082185555800479e-04,5.4438034298900928e-05,12,6.3573062130403535e-02,7.0855281938407150e-02,7.4890561978331355e-02,7.7109472334404114e-02,7.8093981965254369e-02,7.8093981965254508e-02,7.7109472334404072e-02,7.4890561978331424e-02,7.0855281938407344e-02,6.3573062130403840e-02,6.3558176152273452e-02,7.0833707513770161e-02,7.4872050886521380e-02,7.7085029975644759e-02,7.8061982488584369e-02,7.8056534212917944e-02,7.7068606738421808e-02,7.4845427448565705e-02,7.0802963887048681e-02,6.3518624096104939e-02,1.4722757810809911e-01,1.6409232474219984e-01,1.7343754876251435e-01,1.7857627870277529e-01,1.8085628478895155e-01,1.8085628478895185e-01,1.7857627870277518e-01,1.7343754876251452e-01,1.6409232474220029e-01,1.4722757810809983e-01,1.4719871435722262e-01,1.6404861357573036e-01,1.7340128837838401e-01,1.7852647755999218e-01,1.8078906850577758e-01,1.8077645047262889e-01,1.7848844186496199e-01,1.7333962934289726e-01,1.6397741231411395e-01,1.4710711305317889e-01
