step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
1,0.9604311616717025,-0.9604311616717024,0.9604311616717028,-0.9604311616717032,0.960431161671703,-0.9604311616717023,0.9604311616717022,-0.960431161671703,0.9604311616717032,-0.9604311616717033,0.960431161671704,-0.960431161671704
2,0.847918676984629,-0.8479329167536935,0.847918676984629,-0.8479329167536926,0.8479186769846264,-0.8479329167536882,0.8479186769846258,-0.8479329167536918,0.8479186769846268,-0.8479329167536924,0.8479186769846281,-0.8479329167536919
3,0.6797251588930492,-0.6797964865847126,0.6797251588930526,-0.6797964865847134,0.6797251588930506,-0.6797964865847042,0.6797251588930476,-0.6797964865847083,0.6797251588930487,-0.679796486584715,0.6797251588930495,-0.6797964865847076
4,0.48058166495356247,-0.4807643705110682,0.48058166495356947,-0.4807643705110664,0.4805816649535646,-0.4807643705110551,0.48058166495356713,-0.4807643705110649,0.48058166495356724,-0.4807643705110697,0.48058166495356797,-0.48076437051105725
5,0.2777583426377039,-0.2780768504686883,0.2777583426377182,-0.278076850468686,0.27775834263771076,-0.2780768504686641,0.27775834263771315,-0.27807685046867514,0.2777583426377108,-0.27807685046868563,0.27775834263770516,-0.2780768504686556
6,0.09603528300247478,-0.09644725446523306,0.0960352830024922,-0.09644725446522973,0.09603528300248154,-0.0964472544652023,0.09603528300249203,-0.09644725446521507,0.09603528300248798,-0.0964472544652396,0.09603528300249387,-0.0964472544652021
7,-0.04629287198714097,0.0458987764872365,-0.04629287198712373,0.04589877648724455,-0.04629287198713172,0.04589877648727181,-0.04629287198712462,0.04589877648725832,-0.04629287198711485,0.04589877648721585,-0.04629287198709969,0.045898776487266355
8,-0.13963549718140056,0.139397389863888,-0.13963549718138485,0.1393973898639006,-0.13963549718138635,0.13939738986392064,-0.1396354971813893,0.1393973898639076,-0.13963549718135604,0.13939738986384864,-0.13963549718134005,0.13939738986390213
9,-0.18332970606005658,0.18334556178103412,-0.18332970606004345,0.18334556178105121,-0.18332970606002652,0.18334556178104988,-0.18332970606003168,0.18334556178104627,-0.183329706059998,0.18334556178099332,-0.18332970605997506,0.1833455617810427
10,-0.1841444440736772,0.18441887751982,-0.18414444407367092,0.18441887751984531,-0.18414444407363983,0.18441887751982744,-0.18414444407364655,0.18441887751983133,-0.18414444407361386,0.18441887751978703,-0.1841444440736003,0.18441887751984434
