t,ADAPTIVE,DOUBLEADAPTIVE,TWO_SITE_TDVP
0,-2.237114317075738e-17,-2.237114317075738e-17,-2.237114317075738e-17
0.2,-5.551115123125783e-16,4.349114712531854e-06,-1.665334536937735e-16
0.4,-0.0001281643395911192,2.956340464255192e-05,-6.106226635438361e-16
0.6000000000000001,-0.000154488000812858,3.172644555327064e-05,-1.554312234475219e-15
0.8,-0.0003645509219910581,3.409113374253092e-05,-2.164934898019055e-15
1,-0.0004255009648350128,3.728192512270079e-05,-2.997602166487923e-15
1.2,-0.0004133929918462842,3.994619288139045e-05,-2.55351295663786e-15
